Inselberg;Pool;Alpha;Biomass;Depth;Gamma;PC1;PC2;ASE;GSE
MAL;Mal4;6;12.02536708;6;28.087;-0.811548907;0.244259046;0.482;1.72
MAL;Mal5;5;2.158513206;5;28.087;-0.811548907;0.244259046;0.482;1.72
MAL;Mal6;7;3.361719142;8;28.087;-0.811548907;0.244259046;0.368;1.72
MAL;Mal7;7;1.294323259;11;28.087;-0.811548907;0.244259046;0.405;1.72
MAL;Mal8;10.99;5.270979602;7;28.087;-0.811548907;0.244259046;3.741;1.72
MAL;Mal9;10.99;2.904044711;6;28.087;-0.811548907;0.244259046;2.265;1.72
MAL;Mal10;4;0.900789949;4;28.087;-0.811548907;0.244259046;0.481;1.72
MAL;Mal11;5.24;0.01943877;13;28.087;-0.811548907;0.244259046;0.719;1.72
MAL;Mal12;2;0.018083901;7;28.087;-0.811548907;0.244259046;0;1.72
MAL;Mal13;7.5;2.877537728;5.5;28.087;-0.811548907;0.244259046;1.322;1.72
MAL;Mal14;9;1.43332096;14;28.087;-0.811548907;0.244259046;2.248;1.72
MAL;Mal15;8;3.564376161;6;28.087;-0.811548907;0.244259046;0.486;1.72
MAL;Mal16;7;0.184664782;11;28.087;-0.811548907;0.244259046;0.01;1.72
MAL;Mal17;6;0.121898115;35;28.087;-0.811548907;0.244259046;0.482;1.72
MAL;Mal18;7;3.209427066;2;28.087;-0.811548907;0.244259046;0.05;1.72
MAL;Mal19;10.99;0.188151315;21;28.087;-0.811548907;0.244259046;3.731;1.72
MAL;Mal20;4.94;0.002730419;35;28.087;-0.811548907;0.244259046;2.052;1.72
MAL;Mal21;5.49;2.314337994;6;28.087;-0.811548907;0.244259046;1.321;1.72
MAL;Mal22;7;2.526921226;10;28.087;-0.811548907;0.244259046;0.489;1.72
MAL;Mal23;6;0.538692657;28;28.087;-0.811548907;0.244259046;0.485;1.72
MAL;Mal24;6;1.725863224;9;28.087;-0.811548907;0.244259046;0.352;1.72
MAL;Mal25;7;1.963176312;43;28.087;-0.811548907;0.244259046;0.002;1.72
MAL;Mal26;6;0.683733848;45;28.087;-0.811548907;0.244259046;0.01;1.72
MAL;Mal27;12;3.25698683;23;28.087;-0.811548907;0.244259046;3.741;1.72
MAL;Mal28;5;6.230832328;6;28.087;-0.811548907;0.244259046;0.082;1.72
MAL;Mal29;12.99;61.93630413;21;28.087;-0.811548907;0.244259046;7.066;1.72
MAL;Mal30;13.99;186.8094199;5;28.087;-0.811548907;0.244259046;1.87;1.72
