Inselberg,Pool,Alpha,ASE,Biomass,Gamma,GSE,Depth,PC1,PC2
USA,App24,4.997311827956989,0.3208259542638235,0.6502008112887617,13.638,1.26,42,1.5568768820172854,-1.7996884015819092
KOR,Kor1,6,0.1869404398594273,11.767186589203039,33.044,4.752,15,0.06713990207848539,-0.1980111397501592
KOR,Kor2,4,0.5006904095121699,5.123013620035847,33.044,4.752,5.5,0.06713990207848539,-0.1980111397501592
KOR,Kor3,4,0.472581562625261,6.210106021828003,33.044,4.752,24,0.06713990207848539,-0.1980111397501592
KOR,Kor4,3,0.6433338940849449,0.39844802403389745,33.044,4.752,24,0.06713990207848539,-0.1980111397501592
KOR,Kor5,8,0.6718287813269476,4.8688914792619435,33.044,4.752,27.5,0.06713990207848539,-0.1980111397501592
KOR,Kor6,5.495762711864407,1.4695511089975102,0.05219806609178778,33.044,4.752,37,0.06713990207848539,-0.1980111397501592
KOR,Kor7,5,0.4824181513244216,1.7121992643003645,33.044,4.752,31,0.06713990207848539,-0.1980111397501592
KOR,Kor8,7,0.635194754571956,6.986019711544695,33.044,4.752,31,0.06713990207848539,-0.1980111397501592
KOR,Kor9,7.499481327800829,1.254936906274063,13.393266207939414,33.044,4.752,17,0.06713990207848539,-0.1980111397501592
KOR,Kor10,11.471698113207548,3.9486877377833185,0.4387969854275141,33.044,4.752,27,0.06713990207848539,-0.1980111397501592
KOR,Kor11,9,0.45663493408882216,0.1622100164352053,33.044,4.752,25.5,0.06713990207848539,-0.1980111397501592
KOR,Kor12,11.991573033707866,3.5545681910729403,0.20807983195320223,33.044,4.752,34,0.06713990207848539,-0.1980111397501592
KOR,Kor14,8,0.7759867094652297,33.41260492025749,33.044,4.752,32,0.06713990207848539,-0.1980111397501592
KOR,Kor15,7.499675324675325,1.333552788557352,16.238225591900612,33.044,4.752,10,0.06713990207848539,-0.1980111397501592
KOR,Kor16,4,0.42259479964010516,0.15199268375334832,33.044,4.752,23,0.06713990207848539,-0.1980111397501592
